DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SMA9,SMA21,BBdown,BBmavg,BBup,OBV,RSI,SOfastK,SOfastD,SOslowD,MACD,MACDSinal
17/05/2013,97.00,97.20,96.90,97.15,4040,1539,96.46,97.85,94.51,97.75,101.00,-2076,46.09223111,0.327411168,0.239553946,0.200349914,-0.358376566,-0.359358935
20/05/2013,97.29,97.35,97.10,97.15,3130,951,96.54,97.72,94.54,97.61,100.68,-2076,46.09223111,0.895833333,0.480999196,0.312642185,-0.319037458,-0.349278566
21/05/2013,97.16,97.31,97.16,97.26,2670,1584,96.68,97.59,94.60,97.47,100.34,-492,47.28704366,0.972222222,0.731822241,0.484125128,-0.27833648,-0.331543044
22/05/2013,97.25,97.55,97.20,97.50,3480,2242,96.81,97.47,94.69,97.35,100.02,1750,49.8963269,1,0.956018519,0.722946652,-0.230143865,-0.306193249
23/05/2013,97.69,97.75,97.45,97.45,2210,1274,96.96,97.36,94.82,97.24,99.65,476,49.34827801,0.969512195,0.980578139,0.889472966,-0.192285372,-0.27771628
24/05/2013,97.50,97.60,97.25,97.40,3480,1542,97.13,97.24,95.05,97.11,99.17,-1066,48.77137815,0.93902439,0.969512195,0.968702951,-0.162966036,-0.249028719
27/05/2013,97.65,97.80,97.45,97.50,1310,780,97.19,97.13,95.36,96.99,98.61,-286,50.02959637,1,0.969512195,0.973200843,-0.13265672,-0.219935719
28/05/2013,97.69,97.69,97.54,97.59,2220,1443,97.31,97.01,95.83,96.88,97.92,1157,51.19148913,1,0.979674797,0.972899729,-0.102510701,-0.190579465
29/05/2013,97.79,97.94,97.79,97.84,760,552,97.43,96.92,95.80,96.93,98.05,1709,54.36563842,1,1,0.983062331,-0.064348998,-0.159021848
31/05/2013,98.78,98.78,98.68,98.73,890,376,97.60,97.01,95.66,97.02,98.39,2085,63.47279689,1,1,0.993224932,0.013622512,-0.115860758
03/06/2013,98.84,99.00,98.80,98.80,1590,982,97.79,97.11,95.53,97.10,98.67,3067,64.07998071,1,1,1,0.077779653,-0.067450655
04/06/2013,98.80,98.80,98.45,98.55,2770,1680,97.93,97.17,95.52,97.19,98.87,1387,60.22929391,0.887892377,0.962630792,0.987543597,0.113384666,-0.022241825
05/06/2013,98.89,98.99,98.64,98.89,3180,1699,98.08,97.27,95.53,97.32,99.11,3086,63.44642851,1,0.962630792,0.975087195,0.157607702,0.022720557
06/06/2013,98.99,99.14,98.79,98.84,2950,1412,98.24,97.39,95.66,97.46,99.26,1674,62.64389997,0.971264368,0.953052248,0.959437944,0.187287924,0.063862399
07/06/2013,99.01,99.11,98.71,98.71,5120,2715,98.38,97.52,95.78,97.58,99.38,-1041,60.50113345,0.896551724,0.955938697,0.957207246,0.201057352,0.098161137
10/06/2013,98.79,98.99,98.69,98.84,2250,985,98.53,97.64,95.97,97.72,99.46,-56,61.90444797,0.969325153,0.945713748,0.951568231,0.21600389,0.127621825
11/06/2013,98.50,98.95,98.45,98.65,3450,2344,98.65,97.76,96.29,97.86,99.42,-2400,58.6260909,0.838926174,0.901601017,0.934417821,0.214791025,0.149414125
12/06/2013,98.89,99.10,98.70,98.85,2880,1663,98.76,97.90,96.39,97.95,99.52,-737,60.96925303,0.973154362,0.92713523,0.924816665,0.221584753,0.167456782
13/06/2013,98.51,98.71,98.51,98.66,4270,1660,98.75,97.98,96.60,98.06,99.51,-2397,57.63012091,0.845637584,0.88590604,0.904880763,0.213969957,0.179085076
14/06/2013,98.84,99.04,98.84,98.94,3120,1402,98.77,98.10,96.79,98.17,99.54,-995,61.01834493,1,0.939597315,0.917546195,0.219994226,0.189312363
17/06/2013,99.14,99.26,99.06,99.16,2740,2175,98.84,98.21,96.91,98.27,99.62,1180,63.48887125,1,0.948545861,0.924683072,0.233379944,0.200329258
18/06/2013,99.09,99.14,98.84,98.84,2490,2415,98.83,98.29,97.07,98.35,99.63,-1235,57.75520607,0.757575758,0.919191919,0.935778365,0.223924283,0.206228015
19/06/2013,99.15,99.15,98.76,98.86,1430,2076,98.83,98.37,97.24,98.43,99.62,841,58.01044136,0.508196721,0.755257493,0.874331758,0.214694137,0.208344545
20/06/2013,99.30,99.34,99.19,99.24,2240,1167,98.89,98.47,97.36,98.52,99.68,2008,62.63026919,1,0.755257493,0.809902302,0.224670556,0.212426048
21/06/2013,99.50,99.60,99.40,99.60,1400,913,98.98,98.57,97.48,98.62,99.77,2921,66.40169397,1,0.836065574,0.78219352,0.248381337,0.22141487
24/06/2013,99.60,99.70,99.40,99.40,1330,1219,99.06,98.66,97.68,98.72,99.77,1702,62.62062125,0.789473684,0.929824561,0.840382543,0.253090729,0.229333835
25/06/2013,99.55,99.65,99.50,99.50,1170,1452,99.13,98.76,97.89,98.82,99.76,3154,63.73262607,0.894736842,0.894736842,0.886875659,0.25868334,0.236671211
26/06/2013,99.60,99.90,99.55,99.90,950,793,99.27,98.88,98.08,98.94,99.80,3947,67.85235322,1,0.894736842,0.906432749,0.280572772,0.247646601
27/06/2013,99.72,99.72,99.67,99.67,930,2035,99.35,98.97,98.27,99.03,99.79,1912,63.39324651,0.816,0.903578947,0.897684211,0.281905075,0.25621122
28/06/2013,101.70,101.95,101.65,101.90,2520,1366,99.66,99.17,97.74,99.19,100.64,3278,78.29026148,1,0.938666667,0.912327485,0.395443051,0.291019178
01/07/2013,102.00,102.05,101.85,101.90,1540,656,100.00,99.32,97.49,99.35,101.20,3278,78.29026148,1,0.938666667,0.92697076,0.47819725,0.337813696
02/07/2013,101.85,101.85,101.65,101.85,3020,1558,100.33,99.46,97.40,99.51,101.62,1720,77.47046003,0.984567901,0.994855967,0.957396433,0.533450171,0.386722815
03/07/2013,102.15,102.15,101.70,101.95,5000,2980,100.63,99.63,97.32,99.66,102.00,4700,77.96737475,1,0.994855967,0.9761262,0.574409851,0.433644574
04/07/2013,102.19,102.29,101.89,102.24,3760,1949,100.92,99.79,97.27,99.83,102.39,6649,79.38724379,1,0.994855967,0.994855967,0.613493307,0.478606757
05/07/2013,102.45,102.57,102.27,102.42,3030,1695,101.26,99.96,97.28,100.02,102.76,8344,80.23850159,1,1,0.996570645,0.644919838,0.520185027
08/07/2013,102.35,102.45,102.30,102.35,1830,730,101.58,100.13,97.33,100.19,103.06,7614,78.87432401,0.980337079,0.993445693,0.996100553,0.657197928,0.554438252
10/07/2013,102.86,103.25,102.85,103.15,3580,2059,101.94,100.33,97.38,100.42,103.46,9673,82.52992994,1,0.993445693,0.995630462,0.698832935,0.590536923
11/07/2013,103.19,103.59,103.14,103.44,4980,2715,102.36,100.56,97.43,100.65,103.87,12388,83.63539967,1,0.993445693,0.993445693,0.736584681,0.627048862
12/07/2013,103.60,103.90,103.50,103.70,4310,2059,102.56,100.79,97.55,100.90,104.25,14447,84.57764284,1,1,0.995630462,0.769253965,0.662600138
15/07/2013,103.40,103.65,103.25,103.55,3110,1478,102.74,101.03,97.72,101.13,104.54,12969,81.65651197,0.964285714,0.988095238,0.993846977,0.776804697,0.691151278
16/07/2013,103.79,103.79,103.59,103.59,2320,1705,102.93,101.25,97.91,101.35,104.80,14674,81.83666618,0.972704715,0.97899681,0.989030683,0.774403202,0.711964259
17/07/2013,103.44,103.44,102.74,102.89,5550,4256,103.04,101.43,98.25,101.56,104.86,10418,69.05517661,0.799007444,0.911999291,0.959697113,0.727044717,0.715734373
18/07/2013,102.73,102.73,101.98,102.08,3900,2130,103.02,101.58,98.65,101.72,104.78,8288,57.80475565,0.124324324,0.632012161,0.841002754,0.639833126,0.696759062
19/07/2013,102.00,102.15,101.55,101.80,5970,4005,102.95,101.72,99.00,101.84,104.69,4283,54.49937307,0,0.307777256,0.617262903,0.549432629,0.659927454
22/07/2013,102.20,102.20,101.65,101.80,3500,2105,102.89,101.84,99.30,101.95,104.61,4283,54.49937307,0,0.041441441,0.327076953,0.47185643,0.612909698
23/07/2013,102.02,102.17,101.92,102.02,2940,2281,102.76,101.96,99.70,102.09,104.47,6564,56.75283302,0.115789474,0.038596491,0.12927173,0.416426717,0.563788952
24/07/2013,102.48,102.49,102.29,102.34,2950,1643,102.64,102.10,100.16,102.23,104.30,8207,59.86636241,0.284210526,0.133333333,0.071123755,0.384049399,0.518854064
25/07/2013,102.50,102.65,102.35,102.55,2980,2296,102.51,102.24,100.58,102.36,104.13,10503,61.80950467,0.394736842,0.264912281,0.145614035,0.364471629,0.480258455
26/07/2013,102.50,102.65,102.50,102.65,1060,555,102.41,102.37,101.23,102.51,103.79,11058,62.73476787,0.447368421,0.375438596,0.257894737,0.349537251,0.447578154
29/07/2013,102.40,102.40,102.35,102.35,910,649,102.28,102.50,101.28,102.53,103.78,10409,58.18074491,0.289473684,0.377192982,0.339181287,0.318161002,0.415223866
30/07/2013,102.30,102.30,102.15,102.25,720,433,102.20,102.52,101.32,102.55,103.77,9976,56.70314287,0.236842105,0.324561404,0.359064327,0.284517746,0.382547336
31/07/2013,101.76,101.80,101.55,101.65,5280,3359,102.16,102.51,101.29,102.54,103.79,6617,48.70976773,0,0.175438596,0.292397661,0.22418993,0.342957985
01/08/2013,101.64,101.65,101.10,101.15,4960,4082,102.08,102.47,101.13,102.50,103.87,2535,43.23951585,0,0.078947368,0.192982456,0.148842107,0.294429015
02/08/2013,101.03,101.35,100.90,100.95,5490,4133,101.99,102.42,100.91,102.43,103.96,-1598,41.24425621,0,-1.11E-16,0.084795322,0.077938061,0.240306277
05/08/2013,101.19,101.24,100.94,100.99,2720,2232,101.88,102.37,100.71,102.36,104.01,634,41.82247014,0.020618557,0.006872852,0.02860674,0.023633301,0.186138033
06/08/2013,101.29,101.75,101.29,101.50,4440,3748,101.78,102.32,100.63,102.32,104.01,4382,48.74787219,0.323529412,0.114715989,0.040529614,0.007002034,0.141354033
07/08/2013,101.54,101.64,101.39,101.44,4160,3379,101.66,102.28,100.55,102.23,103.92,1003,48.02358624,0.288235294,0.210794421,0.110794421,-0.009118711,0.103735847
08/08/2013,100.95,101.10,100.80,101.00,3730,3035,101.48,102.18,100.44,102.11,103.79,-2032,42.98033815,0.029411765,0.21372549,0.1797453,-0.044064323,0.066785804
09/08/2013,101.01,101.03,100.83,100.98,2790,1679,101.32,102.06,100.40,101.98,103.55,-3711,42.76052142,0.017647059,0.111764706,0.178761539,-0.071782724,0.032143672
12/08/2013,100.96,101.11,100.91,101.01,2890,1843,101.19,101.93,100.40,101.85,103.30,-1868,43.22953916,0.035294118,0.02745098,0.117647059,-0.090941409,0.001372402
15/08/2013,100.21,100.30,99.80,100.05,4140,2943,101.01,101.76,100.25,101.67,103.09,-4811,33.71049407,0,0.017647059,0.052287582,-0.15398239,-0.037466296
16/08/2013,100.13,100.38,100.13,100.23,4630,2730,100.91,101.60,100.10,101.54,102.98,-2081,36.5324515,0.069230769,0.034841629,0.026646556,-0.191990444,-0.076097333
19/08/2013,100.90,101.20,100.90,101.20,2620,1709,100.93,101.52,100.07,101.50,102.92,-372,49.1059608,0.5,0.18974359,0.080744093,-0.169254603,-0.099386651
20/08/2013,101.20,101.45,101.00,101.05,3980,3589,100.94,101.47,100.03,101.46,102.89,-3961,47.53759908,0.454545455,0.341258741,0.188614653,-0.157054345,-0.113803574
21/08/2013,100.91,101.05,100.85,101.00,2110,1163,100.88,101.44,99.98,101.42,102.85,-5124,46.9987566,0.59375,0.516098485,0.349033605,-0.14808024,-0.122372741
22/08/2013,101.10,101.40,101.10,101.40,3130,2123,100.88,101.42,99.98,101.39,102.79,-3001,51.71416184,0.931034483,0.659776646,0.505711291,-0.118593159,-0.121427845
23/08/2013,101.65,101.75,101.55,101.75,2640,1910,100.96,101.40,100.01,101.36,102.71,-1091,55.4490902,1,0.841594828,0.672489986,-0.076101973,-0.110096377
26/08/2013,102.10,102.25,102.10,102.25,2450,2104,101.10,101.40,100.04,101.34,102.64,1013,60.18687581,1,0.977011494,0.826127656,-0.016389629,-0.08666969
27/08/2013,101.90,101.95,101.85,101.95,1070,1256,101.21,101.37,100.11,101.31,102.50,-243,56.31702298,0.863636364,0.954545455,0.924383925,0.014922523,-0.061271637
28/08/2013,101.76,101.91,101.71,101.81,1500,1295,101.40,101.33,100.16,101.28,102.40,-1538,54.55418583,0.8,0.887878788,0.939811912,0.031940842,-0.037968517
29/08/2013,102.15,102.20,102.15,102.20,1150,444,101.62,101.32,100.17,101.28,102.39,-1094,58.45547019,0.977272727,0.88030303,0.907575758,0.06471488,-0.012297668
30/08/2013,104.62,104.77,104.52,104.72,2050,778,102.01,101.44,99.57,101.43,103.30,-316,73.99171488,1,0.925757576,0.897979798,0.217736676,0.045210918
02/09/2013,105.20,105.45,104.90,105.10,1020,662,102.46,101.61,99.18,101.63,104.08,346,75.48075706,1,0.992424242,0.932828283,0.35264547,0.122069556
03/09/2013,104.61,104.91,104.31,104.41,1820,1044,102.84,101.76,99.09,101.80,104.51,-698,67.8810947,0.863366337,0.954455446,0.957545755,0.41773472,0.195985847
04/09/2013,105.00,105.40,104.95,105.40,2620,1376,103.29,101.97,98.92,102.02,105.12,678,72.20516665,1,0.954455446,0.967111711,0.512446616,0.275101039
05/09/2013,105.94,105.95,105.25,105.35,1870,998,103.69,102.18,98.81,102.22,105.62,-320,71.68029699,0.988636364,0.950667567,0.953192819,0.576547123,0.35046256
06/09/2013,105.89,105.89,105.54,105.69,1660,874,104.07,102.38,98.72,102.43,106.13,554,73.11163181,1,0.996212121,0.967111711,0.63555616,0.42173596
09/09/2013,105.90,106.45,105.85,106.25,1760,1166,104.55,102.61,98.69,102.69,106.69,1720,75.32383025,1,0.996212121,0.981030603,0.700680497,0.491472094
10/09/2013,106.50,106.50,106.10,106.15,1340,1148,105.03,102.85,98.76,102.95,107.13,572,74.15063268,0.979381443,0.993127148,0.995183797,0.7368867,0.552825746
11/09/2013,106.30,106.45,105.90,106.45,2950,1369,105.50,103.12,98.87,103.22,107.57,1941,75.38906644,1,0.993127148,0.994155472,0.769990935,0.607117043
12/09/2013,106.79,106.95,106.25,106.35,2260,1415,105.68,103.37,99.24,103.54,107.83,526,74.11442211,0.978448276,0.98594324,0.990732512,0.780523847,0.650468744
13/09/2013,106.00,106.35,106.00,106.30,1690,859,105.82,103.67,99.66,103.84,108.01,-333,73.44576708,0.967672414,0.98204023,0.987036872,0.775909201,0.681828858
16/09/2013,106.60,106.60,106.50,106.50,1220,405,106.05,103.97,99.96,104.10,108.25,72,74.43915587,1,0.98204023,0.983341233,0.771883963,0.704342635
17/09/2013,106.85,107.55,106.80,107.55,2420,1101,106.29,104.27,100.27,104.43,108.58,1173,78.90165267,1,0.989224138,0.984434866,0.809919302,0.730736802
18/09/2013,107.41,107.71,107.36,107.71,1880,1232,106.55,104.59,100.69,104.76,108.84,2405,79.48927607,1,1,0.990421456,0.836436529,0.757161733
19/09/2013,108.10,108.50,108.10,108.45,1960,1378,106.86,104.94,101.05,105.12,109.19,3783,81.98795315,1,1,0.996408046,0.881831192,0.788329098
20/09/2013,108.40,108.70,108.40,108.70,910,408,107.13,105.29,101.42,105.46,109.51,4191,82.75240589,1,1,1,0.917346125,0.820583355
23/09/2013,108.79,108.89,108.59,108.69,960,628,107.41,105.62,101.79,105.79,109.79,3563,82.60139105,0.997014925,0.999004975,0.999668325,0.932163903,0.848478492
24/09/2013,108.50,108.70,108.00,108.55,1440,920,107.64,105.92,102.36,106.12,109.88,2643,80.38956298,0.955223881,0.984079602,0.994361526,0.924525562,0.867490259
25/09/2013,108.99,109.04,108.69,108.99,1120,1109,107.94,106.25,103.07,106.48,109.88,3752,82.01917061,1,0.984079602,0.989054726,0.927483077,0.882488464
26/09/2013,109.10,109.15,109.10,109.10,650,787,108.25,106.60,103.85,106.82,109.79,4539,82.41264901,1,0.985074627,0.984411277,0.922740459,0.892551462
27/09/2013,109.20,109.20,109.05,109.10,300,125,108.54,106.93,104.08,107.04,110.00,4539,82.41264901,1,1,0.989718076,0.906830741,0.896121282
30/09/2013,111.00,111.23,110.43,110.58,9330,5037,108.87,107.21,104.12,107.31,110.51,9576,86.88947074,1,1,0.995024876,0.953073611,0.910359364
01/10/2013,111.20,111.20,110.35,110.65,10450,6629,109.20,107.47,104.40,107.63,110.85,16205,87.05728,1,1,1,0.979489017,0.927641778
02/10/2013,110.50,110.73,109.98,110.13,14210,6701,109.39,107.74,104.63,107.86,111.09,9504,78.97092301,0.88045977,0.960153257,0.986717752,0.962275788,0.93630028
03/10/2013,110.12,110.12,109.50,109.70,9880,5954,109.50,107.95,104.97,108.08,111.19,3550,72.9376962,0.771084337,0.883848036,0.948000431,0.915821787,0.931180657
04/10/2013,109.07,109.15,108.70,108.85,14130,7292,109.52,108.12,105.32,108.24,111.16,-3742,62.73474661,0.419354839,0.690299649,0.84476698,0.827416548,0.90523963
07/10/2013,108.45,109.40,108.30,109.30,10800,6035,109.60,108.29,105.59,108.39,111.19,2293,65.48727157,0.540816327,0.577085168,0.717077617,0.769140954,0.871214961
08/10/2013,109.78,110.14,109.78,109.94,7030,4742,109.71,108.46,105.90,108.58,111.26,7035,68.9948919,0.677272727,0.545814631,0.604399816,0.744049551,0.839423608
09/10/2013,109.70,109.90,109.40,109.80,7220,5280,109.78,108.64,106.20,108.75,111.29,1755,67.38162033,0.595238095,0.604442383,0.575780727,0.708136866,0.806601923
10/10/2013,109.38,109.55,108.75,109.10,13170,7306,109.78,108.76,106.59,108.88,111.18,-5551,59.84659563,0.261904762,0.511471861,0.553909625,0.637800007,0.764401444
11/10/2013,108.05,109.29,108.05,108.89,12480,8607,109.60,108.88,107.05,109.01,110.98,-14158,57.75982351,0.161904762,0.33968254,0.485198928,0.564775544,0.714494969
14/10/2013,108.02,108.51,108.01,108.36,5130,2847,109.34,108.98,107.48,109.11,110.74,-17005,52.75971663,0,0.141269841,0.330808081,0.475404882,0.654722447
15/10/2013,108.10,108.25,108.00,108.15,5730,2615,109.12,109.06,107.60,109.14,110.67,-19620,50.88026604,0,0.053968254,0.178306878,0.389594662,0.588440501
16/10/2013,107.81,107.92,107.37,107.42,8980,6521,108.87,109.06,107.53,109.12,110.72,-26141,44.89340409,0,-5.55E-17,0.065079365,0.282853429,0.512043733
17/10/2013,107.62,107.97,107.47,107.97,6110,3572,108.77,109.07,107.45,109.10,110.74,-22569,49.69600865,0.170278638,0.056759546,0.036909267,0.222169857,0.439575264
18/10/2013,107.46,107.61,107.16,107.26,9500,7132,108.54,109.01,107.20,109.03,110.85,-29701,44.32559033,0,0.056759546,0.037839697,0.138008216,0.364183502
21/10/2013,107.22,107.22,106.82,106.87,3180,1498,108.20,108.92,106.88,108.94,110.99,-31199,41.66228688,0,0.056759546,0.056759546,0.051821809,0.286093079
22/10/2013,106.97,108.00,106.95,107.90,6590,3915,107.99,108.89,106.81,108.90,111.00,-27284,50.17672003,0.335504886,0.111834962,0.075118018,0.033354959,0.222908549
23/10/2013,108.00,108.20,107.85,108.10,3450,1557,107.88,108.86,106.74,108.86,110.98,-25727,51.65228965,0.400651466,0.245385451,0.13799332,0.028134692,0.174215084
24/10/2013,107.80,107.85,107.65,107.85,4420,1770,107.76,108.81,106.63,108.80,110.96,-27497,49.671978,0.319218241,0.351791531,0.236337315,0.01169097,0.133584056
25/10/2013,107.11,107.56,107.11,107.46,1370,841,107.66,108.73,106.48,108.71,110.95,-28338,46.66620792,0.19218241,0.304017372,0.300398118,-0.0200337,0.095179617
28/10/2013,107.70,107.75,107.60,107.60,1520,777,107.60,108.66,106.45,108.57,110.68,-27561,47.88534429,0.249146758,0.253515803,0.303108235,-0.037780208,0.061939661
29/10/2013,107.81,108.11,107.81,107.96,2070,1552,107.66,108.54,106.54,108.43,110.33,-26009,50.98785092,0.488789238,0.310039469,0.289190881,-0.033795485,0.038005874
30/10/2013,108.00,108.05,108.00,108.00,1270,1038,107.67,108.41,106.59,108.32,110.06,-24971,51.33452073,0.559405941,0.432447312,0.332000861,-0.028326319,0.021422826
31/10/2013,106.26,106.51,106.21,106.41,3860,1961,107.57,108.23,106.36,108.16,109.96,-26932,39.40368359,0,0.349398393,0.363961724,-0.100317963,-0.009012372
01/11/2013,106.65,107.28,106.63,107.23,3310,1629,107.61,108.12,106.26,108.08,109.90,-25303,46.33130086,0.471264368,0.343556769,0.375134158,-0.115644126,-0.03567031
04/11/2013,107.18,107.50,107.10,107.50,4070,2033,107.57,108.05,106.25,107.99,109.73,-23270,48.42220919,0.644970414,0.372078261,0.355011141,-0.113059242,-0.055017543
05/11/2013,107.59,107.79,107.39,107.79,2960,1041,107.53,107.98,106.39,107.88,109.38,-22229,50.64630021,0.816568047,0.64426761,0.45330088,-0.095572801,-0.065156358
06/11/2013,108.05,108.08,107.78,107.88,3370,1566,107.54,107.88,106.58,107.79,108.99,-20663,51.34747198,0.869822485,0.777120316,0.597822062,-0.076361986,-0.067957765
07/11/2013,108.17,108.17,107.52,107.77,3720,1527,107.57,107.78,106.67,107.72,108.77,-22190,50.40490468,0.804733728,0.830374753,0.75058756,-0.065710369,-0.067395916
08/11/2013,108.04,108.06,107.76,107.86,3960,2172,107.60,107.73,106.76,107.67,108.57,-20018,51.19430682,0.857988166,0.84418146,0.81722551,-0.05221496,-0.063600677
11/11/2013,107.99,108.14,107.84,108.04,2750,1333,107.61,107.68,106.79,107.65,108.52,-18685,52.81203479,0.964497041,0.875739645,0.850098619,-0.032342123,-0.055786038
12/11/2013,108.28,108.73,108.28,108.58,4620,2404,107.67,107.70,106.74,107.67,108.61,-16281,57.37650147,1,0.940828402,0.886916502,0.009568925,-0.039447298
13/11/2013,108.50,108.65,108.05,108.10,3400,2077,107.86,107.69,106.76,107.71,108.65,-18358,52.51393538,0.778801843,0.914432962,0.91033367,0.018968112,-0.024843445
